timestamp,open,high,low,close,adjusted close,volume,dividend amount
2014-08-29,176.5200,184.1700,174.7000,183.9900,158.4082,23864300,0.0000
2014-07-31,179.8800,182.5000,176.9600,176.9600,152.3557,18901400,0.0000
2014-06-30,176.8300,180.5700,175.9440,179.4300,154.4823,19356700,0.8090
2014-05-30,172.5000,176.6900,170.4400,176.5500,151.3209,20604100,0.0000
2014-04-30,171.8700,173.8200,166.1121,172.5900,147.9268,27491700,0.0000
2014-03-31,169.1900,173.1890,168.3800,171.3500,146.8640,24621000,0.7790
2014-02-28,163.0200,171.4690,159.1800,170.6300,145.5795,24164200,0.0000
2014-01-31,168.5300,169.4300,162.0700,163.1800,139.2232,29636000,0.0000
2013-12-31,165.9500,169.2300,162.0100,169.1500,144.3168,31082700,0.9140
2013-11-29,161.2800,166.5100,160.1000,165.7000,140.6067,26113000,0.0000
2013-10-31,77.0200,162.6200,75.3600,160.8800,136.5166,59089200,0.0000
2013-09-30,75.6600,79.5200,74.9700,77.0000,130.6785,46964600,0.3930
2013-08-30,77.8400,78.3090,74.6700,74.8500,126.3918,29719000,0.0000
2013-07-31,73.8699,77.8068,73.3800,77.2300,130.4107,33382600,0.0000
2013-06-28,75.0300,76.0000,71.3300,73.3400,123.8420,52017600,0.3690
2013-05-31,72.9600,77.4260,72.3900,74.8400,125.7298,28131200,0.0000
2013-04-30,71.7000,73.1400,70.2900,73.1400,122.8738,37696800,0.0000
2013-03-28,69.1600,71.8100,68.8700,71.6400,120.3538,29218000,0.3350
2013-02-28,68.9900,70.1800,68.1100,69.4700,116.1616,33837600,0.0000
2013-01-31,66.4700,69.1000,66.2800,68.5600,114.6400,37857200,0.0000
2012-12-31,65.3700,66.6600,63.9000,65.1900,109.0050,23459000,0.4700
2012-11-30,64.8600,65.7900,61.6900,65.0000,107.9092,18781000,0.0000
2012-10-31,66.1500,67.3600,64.2700,64.6300,107.2949,15642200,0.0000
2012-09-28,64.5700,67.7900,64.1200,65.9200,109.4365,16113400,0.3430
2012-08-31,63.4400,65.4700,62.0400,64.6100,106.7128,16474800,0.0000
2012-07-31,62.4500,63.7300,60.6600,63.0300,104.1032,16965000,0.0000
2012-06-29,59.1700,62.6500,58.1715,62.2800,102.8645,15118800,0.3200
2012-05-31,63.9800,64.8000,59.2766,60.1200,98.7708,20885400,0.0000
2012-04-30,64.3700,65.0600,62.1100,63.9600,105.0796,19240200,0.0000
2012-03-30,62.8200,64.9199,61.4500,64.3700,105.7532,20129000,0.2850
2012-02-29,60.5000,63.1976,60.4300,62.5900,102.3782,10331200,0.0000
2012-01-31,58.4500,61.0000,57.8400,60.0200,98.1745,8812200,0.0000
2011-12-30,57.0700,59.0800,55.2200,57.4500,93.9708,15831000,0.3430
2011-11-30,55.7700,58.5100,53.1500,57.1500,92.9286,10076400,0.0000
2011-10-31,51.4100,59.1500,49.1200,57.3200,93.2050,16779600,0.0000
2011-09-30,55.8700,56.4000,51.1900,51.7600,84.1642,9141200,0.2900
2011-08-31,59.8900,59.9100,50.4600,55.8400,90.2934,18848800,0.0000
2011-07-29,60.3700,62.0500,58.7200,59.1000,95.5648,5953800,0.0000
2011-06-30,61.5200,61.5200,57.7700,60.3400,97.5699,5098400,0.2850
2011-05-31,62.7200,62.7200,60.0800,61.6700,99.2329,4909400,0.0000
2011-04-29,61.0600,62.4400,59.2201,62.4000,100.4075,4603600,0.0000
2011-03-31,61.1400,61.1500,57.3200,60.6200,97.5433,7732000,0.2680
2011-02-28,59.2400,61.6100,59.1900,60.8900,97.5423,5522000,0.0000
2011-01-31,57.9700,59.6100,57.7400,58.8500,94.2743,8803000,0.0000
2010-12-31,54.9600,57.8000,54.9400,57.5700,92.2239,3339400,0.2630
2010-11-30,54.4600,56.1500,53.7372,54.0900,86.2545,2139800,0.0000
2010-10-29,52.5400,54.6400,51.7500,54.1500,86.3502,1902200,0.0000
